,text
0,Как разрабатываются и производятся процессоры: проектирование ЦП. Как вы возможно знаете;
122, что в некоторых случаях до половины физических контактов на чипе может использоваться только для питания или заземления. Некоторые чипы при полной нагрузке могут потреблять больше 150 амперов;
123, и со всем этим током нужно управляться чрезвычайно аккуратно. Для сравнения: центральный процессор генерирует больше тепла на единицу площади;
124, чем ядерный реактор. Тактовый сигнал в современных процессорах отнимает примерно 30-40% от его общей мощности;
125, потому что он очень сложен и должен управлять множеством различных устройств. Для сохранения энергии большинство процессоров с низким потреблением отключает части чипа;
126, когда они не используются. Это можно реализовать отключением тактового сигнала (этот способ называется Clock Gating) или отключением питания (Power Gating). Тактовые сигналы создают ещё одну сложность при проектировании процессора: поскольку их частоты постоянно растут;
127, то на работу начинают влиять законы физики. Даже несмотря на чрезвычайно высокую скорость света;
128, она недостаточно велика для высокопроизводительных процессоров. Если подключить тактовый сигнал к одному концу чипа;
129, то ко времени;
130, когда сигнал достигнет другого конца;
131, он будет рассинхронизован на значительную величину. Чтобы синхронизировать все части чипа;
132, тактовый сигнал распределяется при помощи так называемого H-Tree. Это структура;
133, гарантирующая;
134, что все конечные точки находятся на совершенно одинаковом расстоянии от центра. Может показаться;
135, что проектирование каждого отдельного транзистора;
136, тактового сигнала и контакта питания в чипе — чрезвычайно монотонная и сложная задача;
137, и это в самом деле так. Даже несмотря на то;
138, что в таких компаниях;
139, как Intel;
140, Qualcomm и AMD;
141, работают тысячи инженеров;
142, они не смогли бы вручную спроектировать каждый аспект чипа. Для проектирования чипов такого масштаба они используют множество сложных инструментов;
143, автоматически генерирующих конструкции и электрические схемы. Такие инструменты обычно получают высокоуровневое описание того;
144, что должен делать компонент;
145, и определяют наилучшую аппаратную конфигурацию;
146, удовлетворяющую этим требованиям. Недавно возникло направление развития под названием High Level Synthesis;
147, которое позволяет разработчикам указывать необходимую функциональность в коде;
148, после чего компьютеры определяют;
149, как оптимальнее достичь её в оборудовании. Точно так же;
150, как вы можете описывать компьютерные программы через код;
151, проектировщики могут описывать кодом аппаратные устройства. Такие языки;
152, как Verilog и VHDL позволяют проектировщикам оборудования выражать функциональность любой создаваемой ими электрической схемы. После выполнения симуляций и верификации таких проектов их можно синтезировать в конкретные транзисторы;
153, из которых будет состоять электрическая схема. Хоть этап верификации может и не кажется таким увлекательным;
154, как проектирование нового кэша или ядра;
155, он значительно важнее их. На каждого нанимаемого компанией инженера-проектировщика может приходиться пять или более инженеров по верификации. Верификация нового проекта часто занимает больше времени и денег;
156, чем создание самого чипа. Компании тратят так много времени и средств на верификацию;
157, потому что после отправки чипа в производство его невозможно исправить. В случае ошибки в ПО можно выпустить патч;
158, но оборудование работает иначе. Например;
159, компания Intel обнаружила баг в модуле деления с плавающей запятой некоторых чипов Pentium;
160, и в результате это вылилось в потери;
161, эквивалентные современным 2 миллиардам долларов. Сложно осмыслить то;
162, что в одном чипе может быть несколько миллиардов транзисторов и понять;
163, что все они делают. Если разбить чип на его отдельные внутренние компоненты;
164, становится немного легче. Из транзисторов составляются логические элементы;
165, логические элементы комбинируются в функциональные модули;
166, выполняющие определённую задачу;
167, а эти функциональные модули соединяются вместе;
168, образуя архитектуру компьютера;
169, которую мы обсуждали в первой части серии. Большая часть работ по проектированию автоматизирована;
170, но изложенное выше позволяет нам осознать;
171, насколько сложен только что купленный нами новый ЦП. Во второй части серии я рассказал о процессе проектирования ЦП. Мы обсудили транзисторы;
172, логические элементы;
173, подачу питания и синхронизирующих сигналов;
174, синтез конструкции и верификацию. В третьей части мы узнаем;
175, что требуется для физического производства чипа. Все компании любят хвастаться тем;
176, насколько современен их процесс изготовления (Intel — 10-нанометровый;
177, Apple и AMD — 7-нанометровый;
178, и т.д.);
179, но что же на самом деле означают эти числа? Об этом мы расскажем в следующей части.;
